Source Name	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[organism part]	Term Source REF	Term Accession Number	Characteristics[geographical location]	Term Source REF	Term Accession Number	Characteristics[latitude]	Unit	Term Source REF	Term Accession Number	Characteristics[longitude]	Unit	Term Source REF	Term Accession Number	Characteristics[altitude]	Unit	Term Source REF	Term Accession Number	Protocol REF	Comment[accession ID]	Sample Name	Factor Value[seed collection location]	Factor Value[strain origin]
Arabidopsis seeds from Zurich, Switzerland	Arabidopsis thaliana	NCBITAXON	NCBITaxon:3702	flower	BTO	BTO:0000469	Switzerland	GAZ	GAZ:00002941	47.37	degree	UO	UO:0000185	8.55	degree	UO	UO:0000185	707.6	meter	UO	UO:0000008	Plant material and sample preparation	CS28847	Zue-1	Zurich, Switzerland	wild type
Arabidopsis seeds from Khodga-Obi-Garm, Tajikistan	Arabidopsis thaliana	NCBITAXON	NCBITaxon:3702	flower	BTO	BTO:0000469	Tajikistan	GAZ	GAZ:00006912	38.55	degree	UO	UO:0000185	68.47	degree	UO	UO:0000185	1750	meter	UO	UO:0000008	Plant material and sample preparation	CS28351	HOG	Khodga-Obi-Garm, Tajikistan	wild type
Arabidopsis seeds from Shakdara River , Tajikistan	Arabidopsis thaliana	NCBITAXON	NCBITaxon:3702	flower	BTO	BTO:0000469	Tajikistan	GAZ	GAZ:00006912	39.25	degree	UO	UO:0000185	68.24	degree	UO	UO:0000185	4178.1	meter	UO	UO:0000008	Plant material and sample preparation	CS28735	Shakdara	Shakdara River , Tajikistan	wild type
Arabidopsis seeds from Rubezhnoe, Ukraine	Arabidopsis thaliana	NCBITAXON	NCBITaxon:3702	flower	BTO	BTO:0000469	Ukraine	GAZ	GAZ:00002724	49	degree	UO	UO:0000185	38.3	degree	UO	UO:0000185	189.2	meter	UO	UO:0000008	Plant material and sample preparation	CS28718	Rubezhno-1	Rubezhnoe, Ukraine	wild type
Arabidopsis seeds from Edinburgh, UK	Arabidopsis thaliana	NCBITAXON	NCBITaxon:3702	flower	BTO	BTO:0000469	United Kingdom	GAZ	GAZ:00002637	55.97	degree	UO	UO:0000185	-3.22	degree	UO	UO:0000185	64.8	meter	UO	UO:0000008	Plant material and sample preparation	CS76126	Edi-0	Edinburgh, UK	wild type
Arabidopsis seeds from Scotland Golspie, UK	Arabidopsis thaliana	NCBITAXON	NCBITaxon:3702	flower	BTO	BTO:0000469	United Kingdom	GAZ	GAZ:00002637	57.97	degree	UO	UO:0000185	-3.97	degree	UO	UO:0000185	6.7	meter	UO	UO:0000008	Plant material and sample preparation	CS28973	Gol-1	Scotland Golspie, UK	wild type
Arabidopsis seeds from Ascot, UK	Arabidopsis thaliana	NCBITAXON	NCBITaxon:3702	flower	BTO	BTO:0000469	United Kingdom	GAZ	GAZ:00002637	51.41	degree	UO	UO:0000185	-0.64	degree	UO	UO:0000185	79.9	meter	UO	UO:0000008	Plant material and sample preparation	CS76199	NFA-8	Ascot (England), UK	wild type
Arabidopsis seeds from Taynuilt, UK	Arabidopsis thaliana	NCBITAXON	NCBITaxon:3702	flower	BTO	BTO:0000469	United Kingdom	GAZ	GAZ:00002637	56.43	degree	UO	UO:0000185	-5.23	degree	UO	UO:0000185	19.3	meter	UO	UO:0000008	Plant material and sample preparation	CS28786	Ty-0	Taynuilt, UK	wild type
Arabidopsis seeds from Columbia, USA	Arabidopsis thaliana	NCBITAXON	NCBITaxon:3702	flower	BTO	BTO:0000469	United States of America	GAZ	GAZ:00002459	38.3	degree	UO	UO:0000185	-92.3	degree	UO	UO:0000185	249.4	meter	UO	UO:0000008	Plant material and sample preparation	CS76113	Col-0	Columbia, USA	wild type
Arabidopsis seeds	Arabidopsis thaliana	NCBITAXON	NCBITaxon:3702	flower	BTO	BTO:0000469																Plant material and sample preparation		3gt		mutant
Arabidopsis seeds	Arabidopsis thaliana	NCBITAXON	NCBITaxon:3702	flower	BTO	BTO:0000469																Plant material and sample preparation		f3h		mutant
Arabidopsis seeds	Arabidopsis thaliana	NCBITAXON	NCBITaxon:3702	flower	BTO	BTO:0000469																Plant material and sample preparation		3rt 		mutant
Arabidopsis seeds	Arabidopsis thaliana	NCBITAXON	NCBITaxon:3702	flower	BTO	BTO:0000469																Plant material and sample preparation		3xt-1 		mutant
Arabidopsis seeds	Arabidopsis thaliana	NCBITAXON	NCBITaxon:3702	flower	BTO	BTO:0000469																Plant material and sample preparation		omt		mutant
Arabidopsis seeds	Arabidopsis thaliana	NCBITAXON	NCBITaxon:3702	flower	BTO	BTO:0000469																Plant material and sample preparation		7rt-3		mutant
Arabidopsis seeds	Arabidopsis thaliana	NCBITAXON	NCBITaxon:3702	flower	BTO	BTO:0000469																Plant material and sample preparation		tt4		mutant
Arabidopsis seeds	Arabidopsis thaliana	NCBITAXON	NCBITaxon:3702	flower	BTO	BTO:0000469																Plant material and sample preparation		pap-1		mutant
